slot,analysis_a,analysis_b,n_a,n_b,intersection,jaccard,overlap_coef,p_perm_intersection_ge_obs
D02M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D02M_MANHA,cond,gen_cond,5,5,0,0.0,0.0,1.0
D02M_MANHA,gen,gen_cond,5,5,3,0.42857142857142855,0.6,0.3153369326134773
D02T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D02T_TARDE,cond,gen_cond,5,5,0,0.0,0.0,1.0
D02T_TARDE,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9384123175364927
D03M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D03M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9406118776244751
D03M_MANHA,gen,gen_cond,5,5,0,0.0,0.0,1.0
D03T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D03T_TARDE,cond,gen_cond,5,5,0,0.0,0.0,1.0
D03T_TARDE,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9384123175364927
D04M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D04M_MANHA,cond,gen_cond,5,5,0,0.0,0.0,1.0
D04M_MANHA,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9364127174565087
D05M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D05M_MANHA,cond,gen_cond,5,5,2,0.25,0.4,0.6888622275544891
D05M_MANHA,gen,gen_cond,5,5,0,0.0,0.0,1.0
D06M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D06M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9346130773845231
D06M_MANHA,gen,gen_cond,5,5,0,0.0,0.0,1.0
D09M_MANHA,cond,gen,5,3,0,0.0,0.0,1.0
D09M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9748050389922016
D09M_MANHA,gen,gen_cond,3,5,0,0.0,0.0,1.0
D09T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D09T_TARDE,cond,gen_cond,5,5,2,0.25,0.4,0.743251349730054
D09T_TARDE,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9702059588082383
D10M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D10M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9570085982803439
D10M_MANHA,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9580083983203359
