target,model,real,IRR|BR16|manha + tarde,IRR|BR16|unico,IRR|CD202|manha + tarde,IRR|CD202|unico,IRR|EMB48|manha + tarde,IRR|EMB48|unico,NIRR|BR16|manha + tarde,NIRR|BR16|unico,NIRR|CD202|manha + tarde,NIRR|CD202|unico,NIRR|EMB48|manha + tarde,NIRR|EMB48|unico
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde,7,1,1,0,2,0,1,0,0,0,0,0
condicao_genotipo_turno,Random Forest,IRR|BR16|unico,1,4,3,3,0,1,0,0,0,0,0,0
condicao_genotipo_turno,Random Forest,IRR|CD202|manha + tarde,1,1,3,0,6,0,0,0,0,1,0,0
condicao_genotipo_turno,Random Forest,IRR|CD202|unico,0,2,0,3,1,6,0,0,0,0,0,0
condicao_genotipo_turno,Random Forest,IRR|EMB48|manha + tarde,2,0,2,0,7,0,0,0,0,1,0,0
condicao_genotipo_turno,Random Forest,IRR|EMB48|unico,1,1,0,2,1,7,0,0,0,0,0,0
condicao_genotipo_turno,Random Forest,NIRR|BR16|manha + tarde,2,0,0,0,0,0,5,4,1,0,0,0
condicao_genotipo_turno,Random Forest,NIRR|BR16|unico,0,0,0,0,0,0,5,2,2,2,1,0
condicao_genotipo_turno,Random Forest,NIRR|CD202|manha + tarde,0,0,1,0,0,0,2,1,5,3,0,0
condicao_genotipo_turno,Random Forest,NIRR|CD202|unico,0,0,0,0,0,0,1,2,5,0,2,2
condicao_genotipo_turno,Random Forest,NIRR|EMB48|manha + tarde,0,0,0,0,1,0,0,1,0,2,5,3
condicao_genotipo_turno,Random Forest,NIRR|EMB48|unico,0,0,1,0,0,0,0,0,2,3,2,4
